"Date","Firm","Action","Rating","Price Target","Price After One Year","Price Difference","Ticker","Argus","Atlantic Securities","Axiom Securities","B. Riley","Bank of America Corp","Barclays PLC","Benchmark Co.","BMO Capital Markets","Brean Capital","Canaccord Genuity","Cantor Fitzgerald","Citigroup Inc","Cowen and Company","Craig Hallum","Credit Suisse Group AG","DA Davidson","Deutsche Bank AG","Dougherty & Co","Evercore ISI","FBN Securities","FBR & Co","Goldman Sachs Group Inc","Hilliard Lyons","Jefferies Group LLC","JMP Securities","JPMorgan Chase & Co.","KeyCorp","Leerink Swann","Macquarie","Maxim Group","Mizuho","MKM Partners","Moffett Nathanson","Monness Crespi & Hardt","Morgan Stanley","Needham & Company LLC","Nomura","Oppenheimer Holdings Inc.","Pacific Crest","Piper Jaffray Companies","Pivotal Research","Raymond James Financial, Inc.","Robert W. Baird","Rosenblatt Securities","Royal Bank of Canada","S&P Equity Research","Sanford C. Bernstein","Societe Generale","Stephens","Sterne Agee CRT","Stifel Nicolaus","SunTrust Banks, Inc.","Susquehanna Bancshares Inc","Wedbush","Wells Fargo & Co","William Blair","Wunderlich","Boost Price Target","Downgrade","Initiated Coverage","Lower Price Target","Reiterated Rating","Set Price Target","Upgrade","","Buy","Conviction-Buy","Equal Weight","Hold","In-Line","Market Outperform","Market Perform","Mkt Perform","Neutral","Outperform","Overweight","Positive","Sector Perform","Sell","Strong-Buy","Top Pick","Underperform"
2016-05-06,"Benchmark Co.","Reiterated Rating","Buy",40.45,53.990002,1,"ATVI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-06,"Mizuho","Boost Price Target","Buy",42,53.990002,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-05,"Piper Jaffray Companies","Reiterated Rating","Overweight",39,53.830002,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-05-05,"Wedbush","Reiterated Rating","Outperform",40,53.830002,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-05-03,"MKM Partners","Boost Price Target","Buy",38,52.84,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-13,"Stifel Nicolaus","Reiterated Rating","Buy",40,48.419998,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,"Piper Jaffray Companies","Reiterated Rating","Buy",39,49.860001,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-17,"Barclays PLC","Boost Price Target","Overweight",35,49.130001,1,"ATVI",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-03-14,"Sterne Agee CRT","Reiterated Rating","Buy",45,49.080002,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-16,"Stifel Nicolaus","Lower Price Target","Buy",35,45.389999,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
